Bx,By,Bmagnetic,CoreLoss
3.45182e-07,-3.50091e-10,3.45182e-07,4.21261e-13
3.45256e-07,-3.78138e-10,3.45257e-07,4.21443e-13
3.45326e-07,-3.90001e-10,3.45326e-07,4.21612e-13
3.45387e-07,-3.93138e-10,3.45387e-07,4.21762e-13
3.45441e-07,-3.92381e-10,3.45441e-07,4.21894e-13
3.45489e-07,-3.90606e-10,3.45489e-07,4.22012e-13
3.45533e-07,-3.89379e-10,3.45533e-07,4.22119e-13
3.45575e-07,-3.89379e-10,3.45575e-07,4.22222e-13
3.45617e-07,-3.90606e-10,3.45617e-07,4.22324e-13
3.45661e-07,-3.92381e-10,3.45661e-07,4.22432e-13
3.45709e-07,-3.93138e-10,3.45709e-07,4.2255e-13
3.45763e-07,-3.90001e-10,3.45764e-07,4.22682e-13
3.45825e-07,-3.78138e-10,3.45825e-07,4.22832e-13
3.45894e-07,-3.50091e-10,3.45894e-07,4.23001e-13
3.45969e-07,-2.95785e-10,3.45969e-07,4.23184e-13
3.46042e-07,-2.05011e-10,3.46042e-07,4.23362e-13
3.46099e-07,-7.5229e-11,3.46099e-07,4.23501e-13
3.46121e-07,-5.23958e-11,3.46121e-07,4.23557e-13
2.82047e-07,-1.18738e-10,2.82047e-07,2.81253e-13
2.8209e-07,-3.01036e-10,2.8209e-07,2.8134e-13
2.82186e-07,-4.05044e-10,2.82187e-07,2.81532e-13
2.82295e-07,-4.51009e-10,2.82296e-07,2.8175e-13
2.82396e-07,-4.63603e-10,2.82397e-07,2.81952e-13
2.82482e-07,-4.60236e-10,2.82482e-07,2.82122e-13
2.82552e-07,-4.51065e-10,2.82552e-07,2.82262e-13
2.8261e-07,-4.41458e-10,2.8261e-07,2.82378e-13
2.82659e-07,-4.34076e-10,2.82659e-07,2.82476e-13
2.82703e-07,-4.30147e-10,2.82703e-07,2.82563e-13
2.82743e-07,-4.30147e-10,2.82744e-07,2.82645e-13
2.82784e-07,-4.34076e-10,2.82784e-07,2.82726e-13
2.82828e-07,-4.41458e-10,2.82828e-07,2.82813e-13
2.82877e-07,-4.51065e-10,2.82877e-07,2.82911e-13
2.82935e-07,-4.60236e-10,2.82935e-07,2.83027e-13
2.83005e-07,-4.63603e-10,2.83005e-07,2.83168e-13
2.8309e-07,-4.51009e-10,2.83091e-07,2.83339e-13
2.83191e-07,-4.05044e-10,2.83191e-07,2.83541e-13
2.833e-07,-3.01036e-10,2.83301e-07,2.83759e-13
2.83396e-07,-1.18738e-10,2.83397e-07,2.83951e-13
2.8344e-07,-7.5229e-11,2.8344e-07,2.84039e-13
2.18977e-07,-2.17426e-10,2.18977e-07,1.69533e-13
2.19076e-07,-4.75351e-10,2.19077e-07,1.69686e-13
2.1925e-07,-5.72346e-10,2.19251e-07,1.69957e-13
2.19418e-07,-5.85299e-10,2.19418e-07,1.70216e-13
2.19552e-07,-5.65027e-10,2.19553e-07,1.70425e-13
